Remuneracao Liquida	Descontos Legais	Indenizacoes	Remuneracao Bruta	Matricula	Redutor
     2113.59	     1855.06	        0.00	     3968.65	000027	        0.00
     6141.57	      580.86	        0.00	     6722.43	000035	        0.00
     6093.92	      829.76	        0.00	     6923.68	000094	        0.00
    10769.09	     3185.50	        0.00	    13954.59	000108	        0.00
     6326.26	     3032.27	        0.00	     9358.53	000132	        0.00
     5764.06	      472.92	        0.00	     6236.98	000141	        0.00
     6625.18	      907.23	        0.00	     7532.41	000167	        0.00
    23256.78	     1721.60	        0.00	    27341.64	000191	     2363.26
      449.45	     1793.12	        0.00	     2242.57	000205	        0.00
     9018.80	     2223.22	        0.00	    11242.02	000213	        0.00
     4254.87	     3050.38	        0.00	     7305.25	000221	        0.00
     5456.78	      334.69	        0.00	     5791.47	000230	        0.00
     2154.15	     2624.14	        0.00	     4778.29	000264	        0.00
     5918.72	      480.62	        0.00	     6399.34	000272	        0.00
     6120.90	      633.41	        0.00	     6754.31	000299	        0.00
     8762.79	     2082.47	        0.00	    10845.26	000302	        0.00
     8317.71	     1837.77	        0.00	    10155.48	000311	        0.00
     8490.14	      173.27	        0.00	     8663.41	000345	        0.00
     4326.40	     1368.02	        0.00	     5694.42	000418	        0.00
     6226.12	      908.99	        0.00	     7135.11	000434	        0.00
     7203.52	     3981.84	        0.00	    11185.36	000469	        0.00
     8164.44	     1753.50	        0.00	     9917.94	000493	        0.00
     5876.06	      523.28	        0.00	     6399.34	000507	        0.00
     5161.67	      238.48	        0.00	     5400.15	000531	        0.00
     5748.02	      651.26	        0.00	     6399.28	000540	        0.00
     7241.17	         .00	        0.00	     7241.17	000558	        0.00
    10430.95	      136.38	        0.00	    10567.33	000604	        0.00
    12183.90	     3963.34	        0.00	    16147.24	000639	        0.00
     9680.76	     2587.16	        0.00	    12267.92	000647	        0.00
    19845.04	     1786.01	        0.00	    21938.90	000663	      307.85
     9717.69	     2607.47	        0.00	    12325.16	000671	        0.00
     9308.95	     2382.74	        0.00	    11691.69	000698	        0.00
     9697.37	       45.71	        0.00	     9743.08	000728	        0.00
     7319.50	     1288.96	        0.00	     8608.46	000752	        0.00
     9145.55	     2212.10	        0.00	    11357.65	000787	        0.00
    15774.46	     5856.59	        0.00	    23101.14	000795	     1470.09
    13093.88	     4463.64	        0.00	    17557.52	000809	        0.00
     6304.35	      955.90	        0.00	     7260.25	000833	        0.00
     8847.67	     2129.13	        0.00	    10976.80	000841	        0.00
     7262.00	     1257.36	        0.00	     8519.36	000850	        0.00
     7077.63	     1252.58	        0.00	     8330.21	000868	        0.00
    13923.29	      568.02	        0.00	    14491.31	000884	        0.00
     8728.64	     2063.69	        0.00	    10792.33	000892	        0.00
    11832.54	     3770.18	        0.00	    15602.72	000914	        0.00
    24022.20	     1816.20	        0.00	    28270.84	000931	     2432.44
     5256.56	      269.02	        0.00	     5525.58	000949	        0.00
     6538.35	     1096.13	        0.00	     7634.48	000981	        0.00
     6439.50	      805.15	        0.00	     7244.65	001007	        0.00
     3538.66	         .00	        0.00	     3538.66	001015	        0.00
     6940.08	      999.57	        0.00	     7939.65	001040	        0.00
     6395.25	      700.03	        0.00	     7095.28	001058	        0.00
     9477.93	     2314.04	        0.00	    11791.97	001066	        0.00
     1131.83	     1738.56	        0.00	     2870.39	001074	        0.00
    13043.44	      459.27	        0.00	    13502.71	001104	        0.00
    23585.54	    11791.06	     3233.12	    35154.32	001112	     3010.84
     9633.29	     5378.56	        0.00	    15011.85	001121	        0.00
     8534.10	     1956.74	        0.00	    10490.84	001139	        0.00
    14055.26	     4911.39	        0.00	    18966.65	001155	        0.00
     6332.68	     1726.89	        0.00	     8059.57	001171	        0.00
     8762.79	     2082.47	        0.00	    10845.26	001180	        0.00
    11085.68	     3359.57	        0.00	    14445.25	001198	        0.00
    26057.39	    11429.20	        0.00	    40830.02	001201	     3343.43
     7878.30	     1596.18	        0.00	     9474.48	001244	        0.00
     7224.43	     4201.46	        0.00	    11425.89	001252	        0.00
     8964.60	     2112.62	        0.00	    11077.22	001261	        0.00
    12455.57	     4112.71	        0.00	    16568.28	001295	        0.00
     6205.98	      676.76	        0.00	     6882.74	001309	        0.00
     8052.25	     2003.51	        0.00	    10055.76	001317	        0.00
    10177.21	     2860.09	        0.00	    13037.30	001325	        0.00
     8620.67	     2344.20	        0.00	    10964.87	001333	        0.00
     7134.24	     1187.10	        0.00	     8321.34	001384	        0.00
     4035.64	     3385.62	        0.00	     7421.26	001392	        0.00
